degree,major,cgpa,skills,job_role
B.Tech,Computer Science,6.73,"Backup & Recovery, MySQL, SQL",Database Administrator
M.Tech,Production,8.58,"ANSYS, CAD, MATLAB, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
B.Tech,Mathematics,7.31,"Backup & Recovery, Performance Tuning, SQL",Database Administrator
B.Tech,Electronics,7.19,"Accounting, Communication, Excel, Statistics",Financial Analyst
Pharmacy,Pharmacy,7.48,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Regulatory Compliance",Pharmacist
B.Tech,Civil,7.56,"CAD, Git, MATLAB, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
Diploma,Computer Science,7.65,"Incident Response, Network Security, Penetration Testing, Python, SIEM",Cybersecurity Analyst
B.Tech,Data Science,7.3,"Data Analysis, Experiment Design, LaTeX, Python, Research Methods",Research Scientist
M.Tech,Mechanical,9.22,"AutoCAD, Lean Manufacturing, Matlab, SolidWorks",Manufacturing Engineer
B.Pharm,Pharmacy,6.94,"Clinical Knowledge, Docker, Drug Dispensing, Patient Counseling, Pharmacology, Regulatory Compliance",Pharmacist
M.Com,Human Resources,7.27,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
MBA,Finance,9.38," Docker,  Node.js,  Python,  REST APIs, Algorithms, Java, Linux, Python, SQL",Software Engineer
B.Tech,Information Technology,6.74," Requirements Gathering,  SQL, Data Visualization, Excel, Power BI, Python, SQL, Statistics",Data Analyst
B.Com,Human Resources,7.16," Data Visualization,  Statistics, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
M.Com,Business Administration,7.12,"Lean, Six Sigma, Supply Chain",Operations Manager
B.Des,Journalism,8.2,"Adobe Photoshop, Branding, Figma, Illustrator, Teamwork, Typography, UI Design",Graphic Designer
B.Com,Human Resources,6.74,"Bloomberg, Excel, Financial Modeling, Power BI, SQL, Valuation",Financial Analyst
MBA,Finance,9.31,"CNC, Excel, Lean Manufacturing",Manufacturing Engineer
BBA,Operations,6.39,"Operations Management, Process Improvement, Supply Chain",Operations Manager
M.Pharm,Pharmacy,7.73,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Pharmacology",Pharmacist
M.Sc,Civil,8.98," Deep Learning,  Problem Solving,  REST APIs,  React, Data Structures, Git, Java, Linux, SQL",Software Engineer
B.Sc,Business,9.72,"Accounting, Communication, Python, Statistics",Financial Analyst
B.Des,English,5.96,"Adobe Photoshop, Figma, InDesign",Graphic Designer
Ph.D,Computer Science,7.07," Git, Machine Learning, Model Deployment, NLP, PyTorch, Python, TensorFlow",AI Engineer
BBA,Journalism,7.84,"Content Marketing, Google Analytics, PPC, SEM, SEO, Social Media",Digital Marketing Specialist
BBA,Operations,6.93,"Agile, Docker, Product Strategy, Roadmapping",Product Manager
BBA,Law,5.57,"Compliance, Contract Law, Drafting, Legal Research, Negotiation, Teamwork",Legal Advisor
B.Sc,Game Design,6.7,"Content Strategy, Editing, Research, SEO",Content Writer
MBA,Computer Science,7.19,"Accounting, Excel, Financial Modeling, Python, Statistics",Financial Analyst
B.Sc,Design,7.79,"Content Strategy, Copywriting, Research, SEO, WordPress",Content Writer
MBA,Business Administration,6.79,"Excel, SQL, Valuation",Financial Analyst
B.Tech,Operations,7.84,"Employee Engagement, Excel, HR Policies, Labor Laws",Hr Manager
B.Tech,Information Technology,6.83,"CI/CD, GCP, Linux",Cloud Engineer
B.Com,Operations,6.65,"Agile, Metrics, Product Strategy",Product Manager
MBA,Finance,9.65,"Communication, Excel, Statistics",Financial Analyst
B.E.,Computer Science,7.81,"CI/CD, Linux, Terraform",Cloud Engineer
B.Tech,Information Technology,7.68,"Data Analysis, Experiment Design, LaTeX, Python, Research Methods, Statistics, Teamwork",Research Scientist
M.Tech,Civil,6.96,"Communication, Excel, Finance, M&A, Valuation",Investment Banker
M.Sc,Finance,7.03,"Accounting, Financial Modeling, Python",Financial Analyst
